Library_Name	Run	Sample_Name	geo_loc_name
6030	SRR1945618	6030	Sweden
6034	SRR1945619	6034	Sweden
6035	SRR1945620	6035	Sweden
6036	SRR1945621	6036	Sweden
6038	SRR1945622	6038	Sweden
6039	SRR1945623	6039	Sweden
6040	SRR1945624	6040	Sweden
6041	SRR1945625	6041	Sweden
6042	SRR1945626	6042	Sweden
6043	SRR1945627	6043	Sweden
6046	SRR1945628	6046	Sweden
6064	SRR1945629	6064	Sweden
6069	SRR1945630	6069	Sweden
6070	SRR1945631	6070	Sweden
6071	SRR1945632	6071	Sweden
6073	SRR1945633	6073	Sweden
6074	SRR1945634	6074	Sweden
6076	SRR1945635	6076	Sweden
6077	SRR1945636	6077	Sweden
6085	SRR1945637	6085	Sweden
6086	SRR1945638	6086	Sweden
6087	SRR1945639	6087	Sweden
6088	SRR1945640	6088	Sweden
6090	SRR1945641	6090	Sweden
6091	SRR1945642	6091	Sweden
6092	SRR1945643	6092	Sweden
6094	SRR1945644	6094	Sweden
6095	SRR1945645	6095	Sweden
6096	SRR1945646	6096	Sweden
6097	SRR1945647	6097	Sweden
6098	SRR1945648	6098	Sweden
6099	SRR1945649	6099	Sweden
6100	SRR1945650	6100	Sweden
6101	SRR1945651	6101	Sweden
6102	SRR1945652	6102	Sweden
6104	SRR1945653	6104	Sweden
6105	SRR1945654	6105	Sweden
6106	SRR1945655	6106	Sweden
6107	SRR1945656	6107	Sweden
6108	SRR1945657	6108	Sweden
6109	SRR1945658	6109	Sweden
6111	SRR1945659	6111	Sweden
6112	SRR1945660	6112	Sweden
6113	SRR1945661	6113	Sweden
6114	SRR1945662	6114	Sweden
6115	SRR1945663	6115	Sweden
6118	SRR1945664	6118	Sweden
6119	SRR1945665	6119	Sweden
6122	SRR1945666	6122	Sweden
6123	SRR1945667	6123	Sweden
6124	SRR1945668	6124	Sweden
6125	SRR1945669	6125	Sweden
6126	SRR1945670	6126	Sweden
6128	SRR1945671	6128	Sweden
6131	SRR1945672	6131	Sweden
6132	SRR1945673	6132	Sweden
6133	SRR1945674	6133	Sweden
6134	SRR1945675	6134	Sweden
6136	SRR1945676	6136	Sweden
6137	SRR1945677	6137	Sweden
6138	SRR1945678	6138	Sweden
6140	SRR1945679	6140	Sweden
6141	SRR1945680	6141	Sweden
6142	SRR1945681	6142	Sweden
6145	SRR1945682	6145	Sweden
6148	SRR1945683	6148	Sweden
6149	SRR1945684	6149	Sweden
6150	SRR1945685	6150	Sweden
6151	SRR1945686	6151	Sweden
6153	SRR1945687	6153	Sweden
6154	SRR1945688	6154	Sweden
6163	SRR1945689	6163	Sweden
6166	SRR1945690	6166	Sweden
6169	SRR1945691	6169	Sweden
6172	SRR1945692	6172	Sweden
6173	SRR1945693	6173	Sweden
6174	SRR1945694	6174	Sweden
6177	SRR1945695	6177	Sweden
6180	SRR1945696	6180	Sweden
6184	SRR1945697	6184	Sweden
6188	SRR1945698	6188	Sweden
6189	SRR1945699	6189	Sweden
6191	SRR1945700	6191	Sweden
6192	SRR1945701	6192	Sweden
6193	SRR1945702	6193	Sweden
6194	SRR1945703	6194	Sweden
6195	SRR1945704	6195	Sweden
6198	SRR1945705	6198	Sweden
6201	SRR1945706	6201	Sweden
6202	SRR1945707	6202	Sweden
6203	SRR1945708	6203	Sweden
6209	SRR1945709	6209	Sweden
6210	SRR1945710	6210	Sweden
6214	SRR1945711	6214	Sweden
6216	SRR1945712	6216	Sweden
6217	SRR1945713	6217	Sweden
6218	SRR1945714	6218	Sweden
6220	SRR1945715	6220	Sweden
6221	SRR1945716	6221	Sweden
6231	SRR1945717	6231	Sweden
6235	SRR1945718	6235	Sweden
6237	SRR1945719	6237	Sweden
6238	SRR1945720	6238	Sweden
6240	SRR1945721	6240	Sweden
6241	SRR1945722	6241	Sweden
6242	SRR1945723	6242	Sweden
6243	SRR1945724	6243	Sweden
6244	SRR1945725	6244	Sweden
6252	SRR1945726	6252	Sweden
6255	SRR1945727	6255	Sweden
6258	SRR1945728	6258	Sweden
6268	SRR1945729	6268	Sweden
6276	SRR1945730	6276	Sweden
6284	SRR1945731	6284	Sweden
6296	SRR1945732	6296	Czech Republic
6390	SRR1945733	6390	Czech Republic
6396	SRR1945734	6396	Czech Republic
6413	SRR1945735	6413	Sweden
6424	SRR1945736	6424	Czech Republic
6434	SRR1945737	6434	Czech Republic
6445	SRR1945738	6445	Czech Republic
6680	SRR1945739	6680	Germany
6739	SRR1945740	6739	USA
6740	SRR1945741	6740	USA
6744	SRR1945742	6744	USA
6749	SRR1945743	6749	USA
6750	SRR1945744	6750	USA
6805	SRR1945745	6805	USA
6806	SRR1945746	6806	USA
6814	SRR1945747	6814	USA
6830	SRR1945748	6830	Kazakhstan
6897	SRR1945749	6897	France
6898	SRR1945750	6898	Belgium
6900	SRR1945751	6900	Sweden
6901	SRR1945752	6901	Sweden
6903	SRR1945753	6903	Czech Republic
6904	SRR1945754	6904	Czech Republic
6907	SRR1945755	6907	United Kingdom
6908	SRR1945756	6908	United Kingdom
6909	SRR1945757	6909	USA
6911	SRR1945758	6911	Cape Verde
6913	SRR1945759	6913	Sweden
6915	SRR1945760	6915	Germany
6917	SRR1945761	6917	Sweden
6918	SRR1945762	6918	Sweden
6919	SRR1945763	6919	Germany
6920	SRR1945764	6920	Germany
6922	SRR1945765	6922	Germany
6923	SRR1945766	6923	United Kingdom
6924	SRR1945767	6924	United Kingdom
6926	SRR1945768	6926	USA
6927	SRR1945769	6927	USA
6929	SRR1945770	6929	Tajikistan
6931	SRR1945771	6931	Kazakhstan
6932	SRR1945772	6932	Germany
6933	SRR1945773	6933	Spain
